SL NO.,PACKAGE ID,LOCATION,COUNTRY/COUNTRIES,LOCATIONS,DURATIONS,PAX REQUIRED,AMOUNT/PAX,INCLUSIONS,ACTION PLAN,VENDOR POC IF APPLICABLE,PDF,CANVA LINK,Column 1
1,,Polska Passion Poland,,"Warsaw,krakow,Wroclaw,Poznan,Gdansk",10N/11D,2,"$5,800.00",,VC,,POPDF,POLINK,
2,,The Atlantic Pearl Portugal,,"Lisbon, Douro, Algrave, Porto",9N/10D,,"$17,000.00",,,,PORPDF,PORLINK,
3,,Cape of Good Hope South Africa,,"CapeTown, Johannesburg, Suncity,Knysna,Southern Kruger",9N/10D,,"$12,000.00",,,,SAPDF,SALINK,
4,,The Himalayan Expedition Ladakh,,"Leh, Nubra, Pangong",6N/7D,,"$1,300.00",,,,LPDF,LLINK,
5,,Historical Egypt,,"Cairo,Siwa Oasis, Luxor, Aswan, Alexandria",13N/14D,,"$2,200.00",,,,HEPDF,HELINK,
6,,Ancient Egypt,,"Cairo, Black & White Dessert, Luxor, Aswan, Alexandria",10N/11D,,"$1,799.00",,,,AEPDF,AELINK,
7,,Durga Pujo Delight Kolkata,,,5N/6D,,"$1,400.00",,,,KOPDF,KOLINK,
8,,Beach Paradise Seychelles,,,,,"$2,100.00",,,,SEYPDF,SEYLINK,
9,,Tropical Heaven Bali,,,4N/5D,,$678.00,,,,BAPDF,BALINK,
10,,Vintage Voyage Echoes of Europe,,,,,"$12,799.00",,,,VEUPDF,VEULINK,
11,,Wanderlust Europe,,,,,,,,,WEUPDF,WEULINK,
12,,Alpine Escape New Zealand,,"Auckland, Queenstown",14D/13N,,,,,,NZPDF,NZLINK,
13,,Kenya Unveiled,,"Nairobi, Laikipia, Masai Mara",8D/7N,,,,,,KNPDF,KNLINK,
14,,Timeless England,,London,10D/9N,,,,,,ENPDF,ENLINK,
15,,Scandidavian Serenity,,"Norway, Sweden, Denmark, Finland",14D/13N,,,,,,SCPDF,SCLINK,
16,,Singapore & Malaysia,,"Singapore, Sentosa, Kuala Lumpur, Penang, Lamgkawi",7D/6N,,,,,,SMPDF,SMLINK,
17,,Tropical Island Retreat Singapore,,"Singapore, Sentosa",4D/3N,,,,,,SGPDF,SGLINK,
18,,Magical Montenegro,,"Podgorica, Budva, Kotor",7D/6N,,,,,,MOPDF,MOLINK,
19,,Voyage South Korea,,,11D/10N,,,,,,SKPDF,SKLINK,
20,,Gorgeous Greece,,"Athens, Mykono, Santorini",7d/6N,,,,,,GGPDF,GGLINK,
21,,Capital countryside Swiss essense,,,,,,,,,CEUPDF,CEULINK,
22,,Turkey,,,,,,,,,TPDF,TLINK,
23,,Jewel of Iberia Spain,,"Barcelona, Vallencia, Ibiza, Granda, Seville, Madrid",14D/13N,,,,,,SPPDF,SPLINK,
24,,Dreamy Island Maldives,,"Noonu Atoll, Dhalu Atoll",7D/6N,,,,,,MALPDF,MALLINK,
25,,Island of Rainbows Maritius,,Port Louis,7D/6N,,,,,,MAUPDF,MAULINK,
26,,Kingdom of Happiness Bhutan,,"Thimpu, Punakha, Paro",7D/6N,,,,,,BHPDF,BHLINK,
27,,Kingdom of Million Elephants Laos,,"Luang Prabang, Vientiane, Pakse",7D/6N,,,,,,LPDF,LLINK,
28,,The Jewel of the Desert Dubai,,Dubai,5D/4N,,,,,,DPDF,DLINK,
29,,Ocean's Hidden Treasure Seychelles,,"Mahe, Praslin, La Digue",7D/6N,,,,,,SYPDF,SYLINK,
30,,The Eighth Continent Madagascar,,"Antananarivo, Andasibe, Nosy Be",7D/6N,,,,,,MGPDF,MGLINK,
31,,Realm of Forts and Palaces Rajasthan,,,,,,,,,RJPDF,RJLINK,
32,,Land of Backwater & Spices Kerala,,,,,,,,,KPDF,KLINK,
33,,Teerth Nagri Rishikesh,,,,,,,,,RIPDF,RILINK,
34,,Mediterranean Majesty Italy & Monaco,,,,,,,,,IMPDF,IMLINK,
35,,Cherry Blossam Coutry Japan,,,,,,,,,JAPDF,JALINK,
36,,Coffee Capital Coorg,,,,,,,,,COPDF,COLINK,
37,,Valley of Serenity Kashmir,,,,,,,,,KASPDF,KASLINK,
